Week,Google Search Interest
3/27/2022,20
4/3/2022,14
4/10/2022,11
4/17/2022,12
4/24/2022,15
5/1/2022,10
5/8/2022,9
5/15/2022,13
5/22/2022,8
5/29/2022,9
6/5/2022,14
6/12/2022,0
6/19/2022,11
6/26/2022,13
7/3/2022,16
7/10/2022,13
7/17/2022,7
7/24/2022,0
7/31/2022,8
8/7/2022,13
8/14/2022,0
8/21/2022,14
8/28/2022,0
9/4/2022,10
9/11/2022,0
9/18/2022,10
9/25/2022,17
10/2/2022,11
10/9/2022,17
10/16/2022,19
10/23/2022,18
10/30/2022,35
11/6/2022,28
11/13/2022,22
11/20/2022,20
11/27/2022,16
12/4/2022,18
12/11/2022,14
12/18/2022,12
12/25/2022,0
1/1/2023,11
1/8/2023,10
1/15/2023,9
1/22/2023,14
1/29/2023,0
2/5/2023,16
2/12/2023,14
2/19/2023,18
2/26/2023,8
3/5/2023,14
3/12/2023,14
3/19/2023,10
3/26/2023,12
4/2/2023,14
4/9/2023,13
4/16/2023,14
4/23/2023,11
4/30/2023,7
5/7/2023,8
5/14/2023,17
5/21/2023,8
5/28/2023,8
6/4/2023,14
6/11/2023,13
6/18/2023,11
6/25/2023,9
7/2/2023,10
7/9/2023,11
7/16/2023,10
7/23/2023,10
7/30/2023,8
8/6/2023,9
8/13/2023,9
8/20/2023,9
8/27/2023,9
9/3/2023,0
9/10/2023,15
9/17/2023,10
9/24/2023,8
10/1/2023,0
10/8/2023,10
10/15/2023,16
10/22/2023,14
10/29/2023,43
11/5/2023,70
11/12/2023,34
11/19/2023,27
11/26/2023,26
12/3/2023,20
12/10/2023,16
12/17/2023,18
12/24/2023,10
12/31/2023,19
1/7/2024,13
1/14/2024,13
1/21/2024,0
1/28/2024,12
2/4/2024,15
2/11/2024,13
2/18/2024,12
2/25/2024,20
3/3/2024,12
3/10/2024,12
3/17/2024,14
3/24/2024,18
3/31/2024,13
4/7/2024,18
4/14/2024,11
4/21/2024,15
4/28/2024,18
5/5/2024,19
5/12/2024,10
5/19/2024,11
5/26/2024,12
6/2/2024,10
6/9/2024,0
6/16/2024,11
6/23/2024,0
6/30/2024,0
7/7/2024,13
7/14/2024,11
7/21/2024,10
7/28/2024,9
8/4/2024,0
8/11/2024,0
8/18/2024,11
8/25/2024,0
9/1/2024,15
9/8/2024,16
9/15/2024,12
9/22/2024,12
9/29/2024,17
10/6/2024,15
10/13/2024,25
10/20/2024,38
10/27/2024,48
11/3/2024,39
11/10/2024,37
11/17/2024,100
11/24/2024,38
12/1/2024,21
12/8/2024,20
12/15/2024,24
12/22/2024,17
12/29/2024,25
1/5/2025,15
1/12/2025,18
1/19/2025,16
1/26/2025,20
2/2/2025,21
2/9/2025,19
2/16/2025,15
2/23/2025,25
3/2/2025,18
3/9/2025,0
3/16/2025,18
3/23/2025,15
3/30/2025,16
